DEPTH,ROP,WOB,CO2,CH4,H2S,TEMPIN,TEMPOUT,FRACT,MUDLOSS,QUARTZIT,CALCITE,PYRITE,HEMATITE,EPIDOTAL,CHLORITE,ANHYDRIT,SERICITE,PP,SPM1,SPM2,FLOWIN,FLOWOUT%,GAINLOSS,RPM,TORQUE,PITVOL,TUFFASH ,RHYOLITE,BASALT,VOLCAN,ANDESITE,DACITE,TUFFCRYS,VOLCSEDI,CHERTARG,MARL,CLAYST%,CLAY%,SILTST%,SANDST%,SAND%,MEDSAND%,CRSSAND
130,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,60,0,0
131,498,0,206,0,0,55,55,0,0,0,0,0,0,0,0,0,0,661,99,105,668,35,0,57,0,209,0,0,0,0,0,0,0,0,0,0,0,40,0,0,60,0,0
132,675,0,206,0,0,56,55,0,0,0,0,0,0,0,0,0,0,676,97,105,668,32,0,57,0,204,0,0,0,0,0,0,0,0,0,0,0,40,0,0,60,0,0
133,546,1,212,0,0,56,55,0,0,0,0,0,0,0,0,0,0,676,97,103,667,33,0,55,0,204,0,0,0,0,0,0,0,0,0,0,0,40,0,0,60,0,0
134,444,1,212,0,0,56,55,0,0,0,0,0,0,0,0,0,0,676,97,103,667,33,0,54,0,204,0,0,0,0,0,0,0,0,0,0,0,40,0,0,60,0,0
135,512,1,212,0,0,56,55,0,0,0,0,0,0,0,0,0,0,676,99,103,667,34,0,54,0,204,0,0,0,0,0,0,0,0,0,0,0,60,0,0,40,0,0
136,345,1,212,0,0,56,55,0,0,0,0,0,0,0,0,0,0,676,100,103,667,34,0,53,0,212,0,0,0,0,0,0,0,0,0,0,0,60,0,0,40,0,0
137,222,1,212,0,0,55,56,0,0,0,0,0,0,0,0,0,0,707,100,103,667,34,0,54,0,212,0,0,0,0,0,0,0,0,0,0,0,60,0,0,40,0,0
138,389,1,212,0,0,55,56,0,0,0,0,0,0,0,0,0,0,707,101,103,668,34,0,54,0,212,0,0,0,0,0,0,0,0,0,0,0,60,0,0,40,0,0
139,456,1,212,0,0,55,56,0,0,0,0,0,0,0,0,0,0,707,101,103,667,34,0,54,0,212,0,0,0,0,0,0,0,0,0,0,0,60,0,0,40,0,0
140,422,1,212,0,0,55,56,0,0,0,0,0,0,0,0,0,0,707,101,103,667,34,0,53,0,212,0,0,0,0,0,0,0,0,0,0,0,80,0,0,20,0,0
